label,episodes,force_band,checkpoint,episode_len_mean,episode_len_std,episode_time_s_mean,episode_time_s_std,targets_cleared_mean,targets_cleared_std,task_success_mean,task_success_std,task_percentage_mean,task_percentage_std,coverage_span_norm_mean,coverage_span_norm_std,coverage_length_m_mean,coverage_length_m_std,contact_time_s_mean,contact_time_s_std,contact_time_fraction_mean,contact_time_fraction_std,wipe_time_s_mean,wipe_time_s_std,wipe_step_fraction_mean,wipe_step_fraction_std,mean_contact_force_mean,mean_contact_force_std,median_contact_force_mean,median_contact_force_std,p95_contact_force_mean,p95_contact_force_std,peak_contact_force_mean,peak_contact_force_std,force_std_mean,force_std_std,in_band_force_fraction_mean,in_band_force_fraction_std,pass_completions_mean,pass_completions_std,sweep_consistency_mean,sweep_consistency_std,clear_spatial_order_mean,clear_spatial_order_std,clear_s_coverage_mean,clear_s_coverage_std,clear_t_coverage_mean,clear_t_coverage_std,second_half_frac_mean,second_half_frac_std,productive_frac_mean,productive_frac_std,stall_frac_mean,stall_frac_std,mean_stroke_len_mean,mean_stroke_len_std,n_contact_bouts_mean,n_contact_bouts_std,slide_frac_mean,slide_frac_std,action_effort_mean,action_effort_std,action_smoothness_mean,action_smoothness_std,terminated_drift_mean,terminated_drift_std,n_clears_mean,n_clears_std
Agen_s2_upperarm_back,100,"[2.0,12.0]",student_gen_4r_s2.pt,149.43,2.0506,14.943,0.2051,7.07,1.8881,0.0,0.0,29.4588,7.8679,0.6284,0.1484,0.1031,0.0243,8.504,2.5312,0.5685,0.1676,10.839,2.0906,0.7248,0.1369,1.4291,1.1156,0.0445,0.2498,3.2177,2.2648,61.5742,63.0465,7.2102,7.0018,0.1239,0.1008,0.6,0.4899,0.2098,0.1017,0.7289,0.1554,0.366,0.1313,0.388,0.1151,0.1382,0.1379,0.3861,0.1204,0.6964,0.1407,4.4263,1.8356,1.66,0.7513,0.357,0.1432,0.4537,0.0993,0.0175,0.0068,0.11,0.3129,5.06,1.6842
Agen_s2_upperarm_front,100,"[2.0,12.0]",student_gen_4r_s2.pt,149.21,3.8918,14.921,0.3892,5.54,2.8051,0.0,0.0,23.0839,11.6873,0.5178,0.233,0.0849,0.0382,7.497,3.5982,0.5005,0.2397,10.418,3.6613,0.6956,0.2428,1.7297,1.3046,0.0575,0.4131,3.565,3.8739,67.6487,68.9209,8.2547,7.7033,0.1331,0.1212,0.52,0.5192,0.1656,0.094,0.712,0.1822,0.3314,0.1164,0.336,0.1011,0.112,0.139,0.301,0.1534,0.5794,0.22,4.6756,2.2882,1.88,0.6524,0.4492,0.2409,0.478,0.0684,0.0135,0.0042,0.07,0.2551,3.51,1.9773
AstyO_s2_forearm_back,100,"[2.0,12.0]",student_style_4r_s2.pt,148.1,5.0349,14.81,0.5035,6.31,1.5342,0.0,0.0,42.0664,10.2279,0.6149,0.1348,0.1009,0.0221,8.071,3.4949,0.5417,0.2293,10.933,2.9023,0.7358,0.1857,1.5445,1.1277,0.1627,0.4966,4.5161,4.1384,48.0722,49.181,5.9523,5.5462,0.1794,0.1277,0.27,0.4659,0.1054,0.094,0.7853,0.19,0.282,0.1004,0.288,0.1003,0.0576,0.0993,0.3094,0.12,0.6307,0.1533,4.666,1.8503,1.95,0.7665,0.4186,0.155,0.4364,0.0658,0.0119,0.0036,0.16,0.3666,3.38,1.2065
AstyO_s2_forearm_front,100,"[2.0,12.0]",student_style_4r_s2.pt,149.2,5.6,14.92,0.56,6.5,1.3379,0.0,0.0,43.3337,8.9194,0.6385,0.1622,0.1047,0.0266,10.887,2.1115,0.7281,0.1349,11.884,2.1463,0.7948,0.1362,1.895,1.1061,0.1161,0.3823,4.9902,3.0582,57.3076,58.8042,6.4529,5.8673,0.2443,0.1133,1.04,0.4224,0.211,0.0753,0.6731,0.0992,0.3643,0.0659,0.3388,0.0649,0.0638,0.0888,0.2635,0.0557,0.6411,0.094,5.3978,1.7137,1.19,0.5039,0.3968,0.0996,0.4594,0.0302,0.0133,0.0023,0.02,0.14,4.6,1.0198
AstyO_s2_upperarm_back,100,"[2.0,12.0]",student_style_4r_s2.pt,148.83,3.5272,14.883,0.3527,6.78,1.8143,0.0,0.0,28.2503,7.5597,0.6396,0.135,0.1049,0.0221,8.247,2.7257,0.5534,0.1799,10.644,2.2487,0.7142,0.1454,1.5523,1.593,0.0867,0.3985,3.8557,3.1936,59.4619,71.9149,7.4048,9.1216,0.1192,0.1095,0.66,0.4944,0.2263,0.0899,0.7631,0.1872,0.354,0.1195,0.346,0.1014,0.0783,0.12,0.379,0.1085,0.6326,0.1454,4.8472,1.912,1.69,0.6587,0.4116,0.1514,0.4776,0.1051,0.0225,0.0087,0.14,0.347,4.84,1.7013
AstyO_s2_upperarm_front,100,"[2.0,12.0]",student_style_4r_s2.pt,148.3,6.2249,14.83,0.6225,4.76,2.4784,0.0,0.0,19.8326,10.3264,0.4516,0.209,0.0741,0.0343,7.507,3.5289,0.5009,0.2346,10.052,3.8978,0.6716,0.2581,1.7005,1.7174,0.0316,0.2357,4.4312,4.6491,64.0381,68.6945,7.8536,8.234,0.1246,0.0965,0.73,0.5071,0.2049,0.1394,0.7584,0.1874,0.3106,0.1106,0.3376,0.1255,0.1098,0.1456,0.2663,0.1231,0.6904,0.1753,4.0096,2.1269,1.91,0.8613,0.3283,0.1945,0.4423,0.0576,0.0109,0.0037,0.12,0.325,3.48,2.0223
AstyY_s2_forearm_back,100,"[2.0,12.0]",student_style_4r_s2.pt,146.65,7.1448,14.665,0.7145,6.69,1.6655,0.01,0.0995,44.5991,11.1024,0.6792,0.1297,0.1114,0.0213,6.736,2.8541,0.4578,0.1913,9.428,2.3503,0.6421,0.1531,1.588,1.5285,0.0052,0.0405,3.1545,2.6028,54.5568,58.0148,7.4505,8.2898,0.1143,0.1035,0.49,0.5567,0.21,0.1068,0.7335,0.2048,0.287,0.0924,0.287,0.0891,0.0444,0.0966,0.3536,0.1159,0.5101,0.1266,4.8762,1.7063,1.88,0.6675,0.5252,0.1248,0.4115,0.0422,0.0111,0.0041,0.26,0.4386,3.44,1.3139
AstyY_s2_forearm_front,100,"[2.0,12.0]",student_style_4r_s2.pt,149.65,3.4825,14.965,0.3482,7.64,1.5525,0.0,0.0,50.9326,10.3503,0.7238,0.1762,0.1187,0.0289,11.163,2.6401,0.7449,0.1741,12.053,2.2449,0.8045,0.1468,1.6629,0.7961,0.9357,1.1285,3.7618,1.2229,48.594,46.9731,5.2044,4.5678,0.3055,0.1929,1.12,0.7111,0.2812,0.1712,0.5857,0.1039,0.4374,0.1299,0.3687,0.1134,0.1067,0.1059,0.2904,0.076,0.615,0.1358,6.7909,2.7215,1.08,0.3059,0.4358,0.1389,0.4695,0.0472,0.0152,0.0027,0.01,0.0995,5.32,1.5677
AstyY_s2_upperarm_back,100,"[2.0,12.0]",student_style_4r_s2.pt,148.04,3.8831,14.804,0.3883,6.64,1.8896,0.0,0.0,27.667,7.8721,0.5492,0.1352,0.0901,0.0222,7.033,2.8209,0.4733,0.1853,9.814,2.0087,0.6617,0.1279,1.6098,1.5099,0.0576,0.4034,3.7917,2.8112,65.4417,70.1751,8.617,9.1138,0.0883,0.0949,0.35,0.477,0.1418,0.0816,0.7287,0.1885,0.355,0.1169,0.315,0.0942,0.0863,0.1282,0.3877,0.1083,0.6833,0.1083,3.5564,1.142,1.88,0.725,0.3674,0.1205,0.4807,0.0436,0.0143,0.0029,0.26,0.4386,4.51,1.5652
AstyY_s2_upperarm_front,100,"[2.0,12.0]",student_style_4r_s2.pt,149.89,1.0945,14.989,0.1094,6.29,2.578,0.0,0.0,26.2083,10.7412,0.5332,0.1893,0.0875,0.031,7.636,2.875,0.5091,0.1917,10.583,3.0441,0.7055,0.2029,1.3518,1.1655,0.0006,0.0061,3.5599,3.0559,52.8143,56.0578,6.4681,6.7547,0.0993,0.0848,0.56,0.4964,0.2083,0.0941,0.6636,0.1651,0.362,0.1178,0.3609,0.1073,0.1382,0.1481,0.3516,0.1342,0.5341,0.189,4.5013,1.8056,1.96,0.7338,0.4989,0.2097,0.5147,0.0719,0.0118,0.0038,0.01,0.0995,4.17,1.9802
Tours_s2_forearm_back,200,"[2.0,12.0]",trained_models/auto/ours_pc2_forearm_back_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.2,2.01,0.0,0.0,41.3333,13.3991,0.6359,0.1587,0.1043,0.026,7.421,3.7758,0.4947,0.2517,10.3175,2.9546,0.6878,0.197,1.3782,1.2833,0.0569,0.2468,3.4579,2.8407,43.006,55.5254,5.5239,6.9517,0.1525,0.1234,0.465,0.582,0.1539,0.0923,0.7659,0.1976,0.2895,0.1266,0.2735,0.1056,0.0427,0.0884,0.3228,0.1308,0.6302,0.1262,4.5527,1.6346,1.77,0.5264,0.4202,0.1302,0.4204,0.0646,0.014,0.0088,0.0,0.0,3.325,1.5131
Tyubik_s2_forearm_back,200,"[2.0,12.0]",trained_models/auto/baseline_rl_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.045,1.6072,0.0,0.0,40.2999,10.7133,0.6436,0.1429,0.1056,0.0234,6.4115,2.8258,0.4274,0.1884,9.079,2.0962,0.6053,0.1397,1.4818,1.3552,0.0,0.0,3.6812,3.1862,51.3845,56.0119,7.0131,7.518,0.0985,0.0913,0.355,0.4889,0.1679,0.1121,0.8037,0.2067,0.264,0.097,0.2565,0.0869,0.0231,0.0667,0.3491,0.1462,0.536,0.1485,4.6333,1.5102,2.045,0.8142,0.5034,0.1411,0.4202,0.0452,0.0098,0.003,0.0,0.0,3.105,1.2586
Bflat_s2_forearm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.6,2.01,0.0,0.0,30.6662,13.3997,0.535,0.1671,0.0877,0.0274,4.9345,2.2635,0.329,0.1509,8.783,1.9907,0.5855,0.1327,1.4703,1.9813,0.0,0.0,2.2539,3.9723,53.5011,73.4554,7.8708,11.0846,0.0419,0.0664,0.225,0.4294,0.1262,0.1254,0.849,0.2103,0.2225,0.0908,0.218,0.0841,0.0427,0.0994,0.3502,0.135,0.5288,0.1353,5.1914,2.4889,1.91,0.5761,0.4966,0.1337,0.4351,0.0573,0.0106,0.0032,0.0,0.0,2.49,1.1661
Tours_s2_forearm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_forearm_front_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.295,1.5258,0.0,0.0,41.9676,10.1714,0.6672,0.1552,0.1094,0.0255,11.111,3.0226,0.7407,0.2015,12.27,2.3051,0.818,0.1537,1.9381,1.3803,0.0939,0.3373,4.7462,2.8152,74.5045,67.7944,8.0578,7.1298,0.2173,0.1223,0.835,0.5175,0.2121,0.0808,0.6704,0.1654,0.3955,0.1192,0.3719,0.0978,0.0571,0.0754,0.3089,0.0757,0.6083,0.1266,6.184,1.9568,1.295,0.5814,0.4248,0.1303,0.4367,0.0241,0.0138,0.0025,0.0,0.0,5.1,1.4387
Tyubik_s2_forearm_front,200,"[2.0,12.0]",trained_models/auto/yubik_front_s2/BEST/checkpoint_000014/checkpoint-14,149.75,2.4875,14.975,0.2487,6.99,1.5492,0.01,0.0995,46.5997,10.3277,0.6951,0.1801,0.114,0.0295,9.5535,2.9073,0.6386,0.1962,11.0425,2.5273,0.7378,0.1703,1.7039,0.9376,0.2967,0.7302,4.0172,1.4827,54.1279,51.2717,6.3743,5.7095,0.2389,0.1411,1.0,0.7141,0.2237,0.1377,0.6874,0.1058,0.4538,0.1318,0.3442,0.0894,0.0571,0.089,0.3179,0.0814,0.6177,0.1338,6.361,2.4557,1.23,0.4659,0.4152,0.1487,0.46,0.065,0.0127,0.0023,0.0,0.0,5.425,1.38
Bflat_s2_forearm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s2/BEST/checkpoint_000014/checkpoint-14,149.89,1.1126,14.989,0.1113,6.185,1.4734,0.01,0.0995,41.2343,9.8221,0.682,0.1274,0.1119,0.0209,9.779,3.1455,0.6527,0.2108,11.284,2.6067,0.753,0.1747,1.7807,1.4824,0.0017,0.0214,4.4248,4.7625,89.1538,80.3812,10.0319,8.8398,0.0775,0.0673,0.075,0.2817,0.1579,0.0813,0.7129,0.1492,0.3181,0.1074,0.2864,0.0755,0.0181,0.057,0.2601,0.0829,0.654,0.1219,4.7843,1.4185,1.435,0.6601,0.3855,0.1309,0.537,0.0464,0.0125,0.0019,0.0,0.0,4.16,1.2142
Tours_s2_upperarm_back,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_back_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,7.265,1.6139,0.0,0.0,30.2711,6.7248,0.658,0.1309,0.1079,0.0215,8.7445,2.763,0.583,0.1842,11.1135,2.3619,0.7409,0.1575,1.5169,1.3671,0.0386,0.2458,4.2342,3.2418,58.3064,64.2012,7.1651,8.018,0.1157,0.0949,0.695,0.4816,0.2155,0.1077,0.7235,0.1575,0.382,0.1337,0.3505,0.1005,0.095,0.1482,0.3671,0.1112,0.6581,0.1526,4.5668,1.7225,1.78,0.7427,0.3853,0.1541,0.4806,0.1069,0.0221,0.0088,0.0,0.0,5.13,1.6891
Tyubik_s2_upperarm_back,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_back_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.285,1.9323,0.0,0.0,26.1879,8.0506,0.5297,0.1359,0.0869,0.0223,7.0685,2.7369,0.4712,0.1825,9.8855,2.0729,0.659,0.1382,1.6977,1.6655,0.0413,0.2929,3.5716,2.7788,66.8962,68.4622,8.9553,9.6387,0.0874,0.0932,0.375,0.4943,0.1571,0.0825,0.7258,0.1856,0.344,0.1147,0.32,0.0949,0.0815,0.1244,0.3805,0.1136,0.6798,0.1149,3.6211,1.2932,1.855,0.8025,0.3644,0.1236,0.4622,0.047,0.0138,0.004,0.0,0.0,4.365,1.5594
Bflat_s2_upperarm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.325,1.7145,0.0,0.0,26.3542,7.1438,0.5244,0.1365,0.086,0.0224,9.6365,3.4742,0.6424,0.2316,11.845,2.6268,0.7897,0.1751,1.617,1.2476,0.1553,0.5119,4.7006,3.8982,57.6457,65.6944,6.9727,7.7891,0.1353,0.1261,0.21,0.4073,0.1388,0.0972,0.696,0.1745,0.334,0.1164,0.395,0.1224,0.1544,0.1619,0.3584,0.1193,0.6734,0.1521,4.117,1.507,1.795,0.695,0.38,0.1601,0.4863,0.0497,0.0247,0.0442,0.0,0.0,4.855,1.595
Tours_s2_upperarm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_front_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.92,2.6464,0.0,0.0,20.4998,11.0271,0.4482,0.2036,0.0735,0.0334,7.2805,3.4937,0.4854,0.2329,10.1505,3.8179,0.6767,0.2545,1.726,1.6165,0.0769,0.4407,4.6332,4.7136,59.2016,63.6719,7.5196,8.111,0.1347,0.1143,0.705,0.4878,0.204,0.1308,0.7105,0.1724,0.3105,0.1195,0.3485,0.123,0.1456,0.1528,0.2843,0.1445,0.6799,0.1812,3.8742,1.9682,2.075,0.8714,0.3351,0.1951,0.42,0.0448,0.0101,0.0031,0.0,0.0,3.665,2.2074
Tyubik_s2_upperarm_front,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_front_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,5.945,3.076,0.0,0.0,24.7707,12.8163,0.4983,0.2227,0.0817,0.0365,7.34,2.9373,0.4893,0.1958,10.584,3.262,0.7056,0.2175,1.599,1.2147,0.0002,0.0023,4.1101,3.9027,64.6364,60.7924,8.0124,7.1953,0.0966,0.0923,0.67,0.4702,0.1908,0.1076,0.6557,0.1552,0.3663,0.1268,0.3721,0.1127,0.1399,0.1708,0.3401,0.1725,0.5663,0.2248,4.1048,2.0119,2.15,0.7053,0.4611,0.2392,0.4751,0.059,0.0104,0.0034,0.0,0.0,4.02,2.289
Bflat_s2_upperarm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s2/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.37,2.3309,0.0,0.0,18.2094,9.7122,0.3504,0.1818,0.0575,0.0298,4.8425,2.7672,0.3228,0.1845,7.921,3.3408,0.5281,0.2227,1.2358,1.6476,0.0,0.0,1.8789,2.8079,49.3498,72.7751,6.6851,9.4537,0.0539,0.0755,0.395,0.4889,0.1387,0.1125,0.7649,0.212,0.2807,0.0987,0.283,0.0852,0.0466,0.1035,0.3709,0.1872,0.6576,0.1815,3.6128,2.2031,1.805,0.753,0.3943,0.2185,0.4759,0.057,0.0123,0.0049,0.0,0.0,2.985,1.7958
Aours_s3_forearm_back,100,"[2.0,12.0]",student_ours_4r_s3.pt,147.81,6.0244,14.781,0.6024,5.92,1.3167,0.0,0.0,39.4662,8.7771,0.5783,0.1584,0.0948,0.026,7.908,3.2533,0.5303,0.2128,10.433,2.8764,0.7025,0.1826,1.3255,1.1628,0.3155,0.8414,3.3632,2.8907,36.6813,50.5464,4.5897,5.5199,0.1814,0.1886,0.16,0.3666,0.138,0.0936,0.7912,0.2024,0.25,0.0781,0.26,0.0906,0.046,0.1005,0.289,0.1348,0.6117,0.1674,4.5347,1.5676,1.73,0.5976,0.4563,0.1608,0.4368,0.0661,0.0108,0.002,0.13,0.3363,3.08,1.2303
Aours_s3_forearm_front,100,"[2.0,12.0]",student_ours_4r_s3.pt,149.96,0.398,14.996,0.0398,5.97,0.8421,0.0,0.0,39.8002,5.6146,0.6238,0.1045,0.1023,0.0171,9.876,1.3971,0.6585,0.0929,10.717,1.2816,0.7146,0.0851,1.4922,0.6501,0.052,0.1758,4.2139,0.7041,43.894,48.4827,4.8842,4.5508,0.2416,0.1006,1.03,0.4349,0.2512,0.0909,0.6632,0.0489,0.3677,0.0529,0.3121,0.0383,0.0123,0.046,0.2863,0.0658,0.6761,0.0789,6.1045,2.4324,1.02,0.14,0.3695,0.074,0.3048,0.0558,0.0077,0.0013,0.01,0.0995,4.01,0.6082
Aours_s3_upperarm_back,100,"[2.0,12.0]",student_ours_4r_s3.pt,149.74,1.5074,14.974,0.1507,6.63,1.7644,0.0,0.0,27.6252,7.3512,0.5711,0.1174,0.0937,0.0193,9.02,2.7153,0.602,0.1802,11.335,2.0364,0.7566,0.1341,1.5775,0.9817,0.1175,0.4197,3.3133,1.7266,67.0792,65.2564,7.7217,7.0892,0.1531,0.1214,0.39,0.4877,0.1713,0.0811,0.6634,0.1655,0.36,0.1183,0.378,0.1025,0.1547,0.1448,0.3649,0.0935,0.6446,0.1411,4.2512,1.3548,1.69,0.5778,0.4345,0.1428,0.5358,0.024,0.0173,0.0034,0.05,0.2179,4.77,1.5865
Aours_s3_upperarm_front,100,"[2.0,12.0]",student_ours_4r_s3.pt,148.54,5.1545,14.854,0.5154,7.3,3.0017,0.0,0.0,30.4163,12.5067,0.5246,0.1844,0.086,0.0302,11.111,3.9011,0.7425,0.257,13.126,3.855,0.8784,0.2524,1.66,1.105,0.1976,0.7082,4.0034,2.4751,73.0675,67.2411,7.2839,6.1634,0.2018,0.1311,0.69,0.4625,0.1781,0.088,0.6795,0.1322,0.4231,0.111,0.456,0.1224,0.321,0.1323,0.308,0.1103,0.7314,0.1252,4.2908,1.989,1.72,0.694,0.312,0.1488,0.6174,0.045,0.0218,0.0056,0.1,0.3,5.13,2.2524
Ayubik_s3_forearm_back,100,"[2.0,12.0]",student_yubik_4r_s3.pt,148.03,5.1117,14.803,0.5112,6.92,2.1386,0.0,0.0,46.1334,14.2578,0.6671,0.1924,0.1094,0.0315,7.015,3.2017,0.4708,0.2101,10.059,2.7274,0.6774,0.175,1.6406,1.7253,0.0,0.0,4.6183,4.6545,55.8234,68.1033,7.4053,8.8741,0.1084,0.09,0.51,0.6082,0.1879,0.1022,0.7739,0.1991,0.304,0.1166,0.3,0.1086,0.0387,0.0836,0.3686,0.1383,0.5762,0.152,4.0316,1.4262,1.89,0.6308,0.4754,0.1577,0.4327,0.0379,0.0103,0.0028,0.21,0.4073,3.7,1.5264
Ayubik_s3_forearm_front,100,"[2.0,12.0]",student_yubik_4r_s3.pt,149.41,2.7499,14.941,0.275,8.31,2.0528,0.04,0.196,55.4006,13.6858,0.8557,0.197,0.1403,0.0323,12.761,3.3563,0.8528,0.2212,13.245,2.8038,0.8853,0.1835,1.8421,0.8836,0.568,0.8699,5.0493,2.256,53.6803,44.3738,5.577,4.3899,0.2833,0.1551,1.38,0.7846,0.2452,0.0982,0.6126,0.1034,0.4745,0.1215,0.3694,0.0908,0.1027,0.0991,0.2575,0.0692,0.6729,0.0904,6.2063,2.1507,1.05,0.2179,0.355,0.0917,0.4289,0.0381,0.0092,0.0021,0.06,0.2375,5.37,1.6653
Ayubik_s3_upperarm_back,100,"[2.0,12.0]",student_yubik_4r_s3.pt,149.95,0.3571,14.995,0.0357,7.33,1.9903,0.0,0.0,30.5419,8.2925,0.6642,0.1358,0.1089,0.0223,9.652,2.8221,0.6436,0.188,12.49,2.2877,0.8329,0.1522,1.559,0.9935,0.0249,0.2367,4.4708,3.21,68.6412,57.9476,7.9309,6.2207,0.0985,0.0814,0.52,0.4996,0.1876,0.062,0.68,0.1684,0.411,0.137,0.41,0.1127,0.2344,0.1697,0.38,0.0984,0.6094,0.1046,4.274,1.0977,2.11,0.9476,0.4623,0.1103,0.4609,0.038,0.0155,0.0029,0.03,0.1706,5.29,1.8182
Ayubik_s3_upperarm_front,100,"[2.0,12.0]",student_yubik_4r_s3.pt,149.64,2.5001,14.964,0.25,5.73,2.4077,0.0,0.0,23.8772,10.0326,0.4955,0.1601,0.0813,0.0263,9.262,3.5721,0.6181,0.2372,11.569,3.3437,0.7725,0.2214,2.0068,1.4959,0.0277,0.249,4.6934,3.6088,78.9085,69.8688,9.2628,8.0603,0.1527,0.1249,0.85,0.3571,0.1342,0.0599,0.6659,0.1389,0.3258,0.0712,0.3236,0.0687,0.0354,0.0873,0.246,0.1171,0.7802,0.1142,3.6721,1.5598,1.7,0.5745,0.2332,0.1164,0.4469,0.0644,0.0094,0.0026,0.03,0.1706,3.35,1.479
Agen_s3_forearm_back,100,"[2.0,12.0]",student_gen_4r_s3.pt,148.16,5.4346,14.816,0.5435,5.93,1.4646,0.0,0.0,39.5328,9.7641,0.547,0.1453,0.0897,0.0238,8.042,3.4131,0.5386,0.224,10.975,2.857,0.7376,0.1817,1.6452,1.3223,0.2091,0.6506,3.6757,2.8014,55.9951,62.7394,6.7106,7.2279,0.1824,0.1721,0.13,0.3363,0.1287,0.1037,0.7991,0.1991,0.271,0.0941,0.292,0.1007,0.068,0.1383,0.3093,0.1252,0.657,0.1502,3.9989,1.5333,1.93,0.5875,0.4056,0.1612,0.3948,0.0667,0.0108,0.0035,0.14,0.347,3.34,1.1681
Agen_s3_forearm_front,100,"[2.0,12.0]",student_gen_4r_s3.pt,150.0,0.0,15.0,0.0,7.17,1.3569,0.0,0.0,47.8006,9.046,0.7123,0.1752,0.1168,0.0287,12.692,2.759,0.8461,0.1839,13.378,2.2857,0.8919,0.1524,1.7788,0.7112,0.3342,0.5026,4.7737,1.4489,52.4871,49.421,5.6124,4.6856,0.2746,0.0818,1.31,0.4625,0.2595,0.1039,0.6295,0.0964,0.399,0.1063,0.355,0.0792,0.0644,0.098,0.2444,0.0541,0.6708,0.0892,6.6154,2.2357,1.06,0.2375,0.3742,0.0911,0.3594,0.0387,0.0093,0.0014,0.0,0.0,5.04,1.3705
Agen_s3_upperarm_back,100,"[2.0,12.0]",student_gen_4r_s3.pt,150.0,0.0,15.0,0.0,6.75,1.9307,0.0,0.0,28.1248,8.0447,0.6021,0.132,0.0988,0.0217,10.667,2.7757,0.7111,0.185,12.705,2.0915,0.847,0.1394,1.5883,0.8787,0.1944,0.5318,4.1886,1.8625,63.3616,59.6137,6.6816,5.7656,0.1903,0.1188,0.29,0.4538,0.146,0.0888,0.6892,0.1603,0.395,0.1352,0.413,0.1189,0.2165,0.1513,0.3491,0.1132,0.6282,0.143,4.8201,1.4765,1.63,0.6427,0.4366,0.1418,0.4986,0.0379,0.0169,0.0041,0.0,0.0,5.23,1.7427
Agen_s3_upperarm_front,100,"[2.0,12.0]",student_gen_4r_s3.pt,148.8,4.9578,14.88,0.4958,6.56,2.6845,0.0,0.0,27.333,11.185,0.5008,0.1794,0.0821,0.0294,10.124,3.896,0.6762,0.2575,12.604,3.7643,0.8432,0.2465,1.7718,1.6307,0.1386,0.5236,4.9911,3.3785,64.6519,65.6062,7.3835,7.8162,0.1724,0.1206,0.83,0.3756,0.1291,0.0621,0.6762,0.1301,0.3744,0.0938,0.3978,0.1174,0.2558,0.145,0.284,0.1202,0.7647,0.1059,3.7799,1.5439,1.84,0.7579,0.2816,0.1296,0.5597,0.053,0.0172,0.0042,0.06,0.2375,4.41,2.0302
AstyO_s3_forearm_back,100,"[2.0,12.0]",student_style_4r_s3.pt,147.68,6.3212,14.768,0.6321,6.2,1.3565,0.01,0.0995,41.3334,9.0426,0.5734,0.1352,0.094,0.0222,8.186,3.4891,0.55,0.23,10.979,2.7274,0.7407,0.174,1.466,1.0839,0.4432,0.9477,3.8347,2.5988,38.1081,46.5614,4.7468,5.1602,0.2172,0.1899,0.18,0.3842,0.1449,0.1045,0.7458,0.2095,0.272,0.1011,0.274,0.0976,0.0649,0.1419,0.2935,0.1159,0.6022,0.1899,4.5699,1.5035,1.81,0.4836,0.4575,0.1738,0.4388,0.0617,0.0109,0.0024,0.15,0.3571,3.26,1.3973
AstyO_s3_forearm_front,100,"[2.0,12.0]",student_style_4r_s3.pt,149.98,0.199,14.998,0.0199,6.02,1.4831,0.0,0.0,40.1333,9.8873,0.5849,0.1248,0.0959,0.0205,11.318,2.2675,0.7546,0.151,12.3,1.9849,0.8201,0.1322,1.9357,0.7508,0.4734,0.793,4.677,0.8055,56.2947,50.5138,5.9267,4.5286,0.3295,0.1086,0.96,0.196,0.1389,0.0894,0.6528,0.0707,0.3604,0.0568,0.3177,0.0433,0.0298,0.0779,0.2503,0.0784,0.7688,0.114,4.9601,2.5152,1.06,0.2375,0.2543,0.1146,0.2939,0.0902,0.0073,0.0022,0.01,0.0995,3.98,1.0098
AstyO_s3_upperarm_back,100,"[2.0,12.0]",student_style_4r_s3.pt,149.91,0.634,14.991,0.0634,6.67,1.6856,0.0,0.0,27.7913,7.023,0.583,0.1211,0.0956,0.0199,9.546,3.3741,0.6366,0.2247,11.565,2.3494,0.7713,0.1562,1.6278,1.2012,0.0548,0.2624,2.985,1.9636,70.3412,71.4161,8.1516,8.522,0.1529,0.1143,0.37,0.4828,0.1544,0.0765,0.6967,0.1701,0.363,0.1146,0.391,0.115,0.1592,0.1553,0.3637,0.1041,0.6506,0.1291,4.5701,1.6113,1.62,0.6447,0.4238,0.1347,0.5397,0.0268,0.0169,0.003,0.03,0.1706,4.84,1.5794
