label,episodes,force_band,checkpoint,episode_len_mean,episode_len_std,episode_time_s_mean,episode_time_s_std,targets_cleared_mean,targets_cleared_std,task_success_mean,task_success_std,task_percentage_mean,task_percentage_std,coverage_span_norm_mean,coverage_span_norm_std,coverage_length_m_mean,coverage_length_m_std,contact_time_s_mean,contact_time_s_std,contact_time_fraction_mean,contact_time_fraction_std,wipe_time_s_mean,wipe_time_s_std,wipe_step_fraction_mean,wipe_step_fraction_std,mean_contact_force_mean,mean_contact_force_std,median_contact_force_mean,median_contact_force_std,p95_contact_force_mean,p95_contact_force_std,peak_contact_force_mean,peak_contact_force_std,force_std_mean,force_std_std,in_band_force_fraction_mean,in_band_force_fraction_std,pass_completions_mean,pass_completions_std,sweep_consistency_mean,sweep_consistency_std,clear_spatial_order_mean,clear_spatial_order_std,clear_s_coverage_mean,clear_s_coverage_std,clear_t_coverage_mean,clear_t_coverage_std,second_half_frac_mean,second_half_frac_std,productive_frac_mean,productive_frac_std,stall_frac_mean,stall_frac_std,mean_stroke_len_mean,mean_stroke_len_std,n_contact_bouts_mean,n_contact_bouts_std,slide_frac_mean,slide_frac_std,action_effort_mean,action_effort_std,action_smoothness_mean,action_smoothness_std,terminated_drift_mean,terminated_drift_std,n_clears_mean,n_clears_std
Bflat_s1_forearm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.71,1.5479,0.0,0.0,44.7324,10.3182,0.668,0.1554,0.1096,0.0255,6.909,3.0839,0.4606,0.2056,9.729,2.3192,0.6486,0.1546,1.9143,1.7456,0.0721,0.3558,4.3401,2.7869,57.0609,63.1561,7.9637,8.9742,0.1676,0.1157,0.505,0.6,0.1657,0.1125,0.7629,0.1985,0.3495,0.1233,0.316,0.1084,0.0905,0.1512,0.4261,0.1437,0.5376,0.1461,5.3802,2.3778,1.785,0.5374,0.5128,0.141,0.4553,0.0563,0.0124,0.0041,0.0,0.0,4.045,1.4363
Tours_s1_forearm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_forearm_front_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.325,0.8482,0.0,0.0,28.8352,5.6534,0.6166,0.0797,0.1011,0.0131,9.4275,2.5559,0.6285,0.1704,10.6895,2.05,0.7126,0.1367,2.2628,1.215,0.2286,0.6743,5.5802,2.6805,77.8214,79.2553,8.8912,8.151,0.2502,0.129,1.045,0.2073,0.2341,0.0583,0.6228,0.1818,0.321,0.0711,0.304,0.0546,0.0435,0.1072,0.267,0.0738,0.6745,0.1081,6.7346,0.9689,1.38,0.7454,0.3331,0.1088,0.2786,0.0177,0.0051,0.0008,0.0,0.0,3.32,0.8471
Tyubik_s1_forearm_front,200,"[2.0,12.0]",trained_models/auto/yubik_front_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,7.165,1.424,0.0,0.0,47.766,9.4926,0.6677,0.1287,0.1095,0.0211,10.7825,2.8691,0.7188,0.1913,11.971,2.3888,0.7981,0.1593,1.8003,0.8189,0.3599,0.8379,5.0547,1.3498,52.312,50.1462,5.9475,5.0561,0.2888,0.1362,1.015,0.3934,0.3604,0.1162,0.7289,0.0878,0.3829,0.0815,0.3834,0.0825,0.0351,0.0622,0.3135,0.0641,0.5653,0.1212,8.2832,2.4631,1.22,0.4261,0.4606,0.1266,0.2973,0.0439,0.0107,0.0018,0.0,0.0,5.165,1.1126
Bflat_s1_forearm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.385,0.8042,0.0,0.0,29.2355,5.3601,0.8485,0.1716,0.1392,0.0281,7.3485,1.5752,0.4899,0.105,7.8185,1.7921,0.5212,0.1195,0.9071,0.8604,0.0,0.0,3.0015,2.7575,40.7477,56.814,5.0898,6.412,0.0793,0.0463,0.84,0.3666,0.1895,0.0414,0.8685,0.1929,0.2372,0.0703,0.2588,0.0688,0.0081,0.0382,0.2708,0.0926,0.7002,0.0854,4.3743,1.0161,2.09,0.9602,0.3306,0.0901,0.5023,0.0519,0.0076,0.0022,0.0,0.0,2.905,1.0325
Tours_s1_upperarm_back,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_back_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.37,1.8475,0.0,0.0,26.5413,7.6977,0.5275,0.1574,0.0865,0.0258,9.84,2.8429,0.656,0.1895,11.897,2.3919,0.7931,0.1595,1.6088,0.9204,0.41,0.8169,3.6423,2.653,55.9364,56.0526,6.3299,5.9474,0.2098,0.1966,0.47,0.4991,0.1637,0.0854,0.7129,0.1702,0.359,0.1158,0.383,0.096,0.199,0.1834,0.359,0.1328,0.7163,0.1641,4.0725,1.2918,1.62,0.5879,0.342,0.1823,0.4513,0.0577,0.0138,0.0077,0.0,0.0,4.975,1.5825
Tyubik_s1_upperarm_back,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_back_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.91,1.9473,0.0,0.0,28.7917,8.1135,0.5747,0.1603,0.0943,0.0263,9.235,3.5007,0.6157,0.2334,11.739,2.5924,0.7826,0.1728,1.9048,1.987,0.0426,0.2532,4.9075,3.4899,70.894,75.6211,8.9253,10.9393,0.134,0.0999,0.455,0.498,0.1687,0.0866,0.713,0.1744,0.364,0.1292,0.369,0.1022,0.1302,0.1417,0.3721,0.1147,0.6512,0.1446,4.5067,1.7701,1.71,0.6602,0.4045,0.1532,0.4666,0.0723,0.0204,0.022,0.0,0.0,5.055,1.7441
Bflat_s1_upperarm_back,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,6.605,1.8273,0.0,0.0,27.5206,7.6131,0.5973,0.1685,0.098,0.0276,8.7145,2.3516,0.581,0.1568,11.0705,1.8459,0.738,0.1231,1.6428,1.1599,0.0025,0.0357,5.5363,3.6155,63.4832,62.4116,7.677,7.0557,0.1033,0.0715,0.475,0.5472,0.205,0.1006,0.6966,0.1658,0.3865,0.1314,0.4025,0.0987,0.1725,0.1595,0.4095,0.1244,0.5725,0.1645,4.9413,1.6564,1.8,0.6928,0.4765,0.164,0.5169,0.0449,0.0182,0.008,0.0,0.0,5.28,1.7005
Tours_s1_upperarm_front,200,"[2.0,12.0]",trained_models/auto/ours_pc2_upperarm_front_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,5.07,2.5952,0.0,0.0,21.125,10.8133,0.4824,0.2488,0.0791,0.0408,7.9595,3.9895,0.5306,0.266,11.173,3.9099,0.7449,0.2607,2.1222,1.9111,0.2055,0.5518,5.5195,6.7878,65.7029,69.4387,8.6789,9.6297,0.1644,0.1319,0.8,0.4583,0.1642,0.0918,0.7675,0.185,0.3058,0.0941,0.3509,0.1105,0.1882,0.195,0.2868,0.1427,0.6878,0.1605,3.9312,1.996,2.185,0.9954,0.3453,0.1838,0.4449,0.046,0.0114,0.0044,0.0,0.0,3.75,2.1535
Tyubik_s1_upperarm_front,200,"[2.0,12.0]",trained_models/auto/yubik_upperarm_front_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,4.0,1.9875,0.0,0.0,16.6672,8.281,0.4201,0.1759,0.0689,0.0289,6.3145,3.1133,0.421,0.2076,9.4385,3.4662,0.6292,0.2311,2.3325,2.2969,0.048,0.3813,4.9295,7.2906,79.8195,90.964,10.6405,11.8669,0.1412,0.1185,0.825,0.38,0.144,0.0738,0.7753,0.2069,0.2573,0.0917,0.2661,0.0694,0.0121,0.0612,0.2668,0.1606,0.7487,0.1509,3.4406,1.6123,2.155,0.8894,0.2528,0.1572,0.3959,0.0869,0.008,0.0024,0.0,0.0,2.815,1.5036
Bflat_s1_upperarm_front,200,"[2.0,12.0]",trained_models/auto/flat_pc24_s1/BEST/checkpoint_000014/checkpoint-14,150.0,0.0,15.0,0.0,3.355,1.7575,0.0,0.0,13.9797,7.323,0.3975,0.1804,0.0652,0.0296,3.4385,1.9772,0.2292,0.1318,6.3365,2.2162,0.4224,0.1477,1.27,1.6838,0.0,0.0,2.0589,2.1624,35.8189,55.2199,6.0099,8.9034,0.0652,0.0826,0.82,0.4094,0.2375,0.1137,0.8156,0.2154,0.2544,0.0703,0.2409,0.0579,0.0029,0.0231,0.444,0.1969,0.4941,0.2175,3.7005,1.7971,1.81,0.6355,0.501,0.2454,0.5072,0.0684,0.015,0.0056,0.0,0.0,2.47,1.435
